Timestamp,Value
2023-06-15 15:52:00,3000
2023-06-29 22:32:00,-1
2023-06-29 22:52:00,3000
2023-06-30 09:28:00,1826
2023-07-05 08:48:00,2700
2023-07-08 18:40:00,-1
2023-07-08 19:08:00,2700
2023-07-10 15:40:00,1854
2023-07-24 05:04:00,-1
2023-07-24 08:44:00,1854
2023-07-29 16:40:00,-1
2023-07-29 18:08:00,1854
2023-08-15 01:14:00,-1
2023-08-15 02:00:00,1854
2023-08-17 21:30:00,-1
2023-08-17 21:32:00,1854
2023-08-18 09:00:00,-1
2023-08-18 10:48:00,1854
2023-08-24 09:44:00,-1
2023-08-24 13:12:00,1854
2023-08-24 14:54:00,-1
2023-08-24 15:32:00,1854
2023-08-24 18:48:00,-1
2023-08-24 20:40:00,1854
2023-08-24 21:44:00,-1
2023-08-25 01:00:00,1854
2023-08-31 19:24:00,-1
2023-08-31 22:00:00,1854
2023-09-02 01:22:00,-1
2023-09-02 02:30:00,1854
2023-09-08 21:42:00,-1
2023-09-08 21:56:00,1854
2023-09-11 15:04:00,-1
2023-09-11 15:12:00,1854
2023-09-12 10:24:00,1887
2023-09-12 11:48:00,-1
2023-09-12 13:12:00,1887
2023-09-13 21:16:00,1947
2023-09-18 09:06:00,1761
2023-09-19 07:04:00,1699
2023-09-19 09:32:00,1761
